#,Title,abstract,venue,year,doi,authors,relative_citation_index,relevance_score
3,GPUCloudSim: an extension of CloudSim for modeling and simulation of GPUs in cloud data centers,,Journal of Supercomputing,2018,10.1007/s11227-018-2636-7,"M. Momtazpour, Ahmad Siavashi",2.7142860000000000,3
4,Study on fundamental usage of CloudSim simulator and algorithms of resource allocation in cloud computing,"Cloud computing is an internet-based pool of heterogeneous resources. The development of Cloud is scalable and reliable to make availability of resources when required to online users. Resources are provided as a service on demand with payment done on use basis. Nowadays, for less cost and maximize resource utilization, mainly computing is done on Cloud. Cloud simulator is a collection of java classes that provides simulation of concepts of cloud computing. Cloudlet scheduling is one of the most important task in cloud computing. This paper presents fundamental study on the functions of CloudSim simulator and provides tabulated view of various scheduling algorithms used in cloud environment with their parameters and results.",International Conference on Computing Communication and Networking Technologies,2017,10.1109/icccnt.2017.8203998,"Harpreet Kaur, E. Rani",1.625,3
2,Optimization of performance and scheduling of HPC applications in cloud using cloudsim and scheduling approach,"Cloud computing is emerging as a promising alternative to supercomputers for some High-Performance Computing (HPC) applications. Cloud computing is an essential component of the back bone of the Internet of Things (IoT). Clouds are needed to support huge numbers of interactions with varying quality requirements. Hence, Service quality will be a vital differentiator among cloud providers. In order to differentiate themselves from their competitors, cloud providers should offer best services that meet customers' expectations. A quality model can be used to represent, measure and compare the quality of the providers, such that a mutual understanding can be established among clouds take holders. With cloud as an additional deployment option, HPC users and providers faces the challenges of dealing with highly heterogeneous resources, where the variability spans across a wide range of processor configurations, interconnects, virtualization environments, and pricing models. HPC applications are increasingly being used in academia and laboratories for scientific research and in industries for business and analytics. Cloud computing offers the benefits of virtualization, elasticity of resources and elimination of cluster setup cost and time to HPC applications users. Effort was taken for holistic viewpoint to answer the questions — why and who should choose cloud for HPC, for what applications and how the cloud can be used for HPC? Comprehensive performance and cost evaluation and analysis of running a set of HPC applications on a range of platforms, varying from supercomputers to clouds was carried out. Further, performance of HPC applications is improved in cloud by optimizing HPC applications' characteristics for cloud and cloud virtualization mechanisms for HPC. In this paper, a novel heuristics for online application-aware job scheduling in multi-platform environments is presented. Experimental results and Simulations using CloudSim show that current clouds cannot substitute supercomputers but can effectively complement them.","International Conference on Informatics, IoT, and Enabling Technologies",2017,10.1109/iciota.2017.8073634,"D. B. Muralitharan, S. A. B. Reebha, D. Saravanan",0.625,3
1,A cloud simulation based environment for multi-disciplinary collaborative simulation and optimization,"Multi-disciplinary virtual prototype (MDVP) based on modeling and computer simulation technology has been applied in a wide range of engineering applications, especially the design, testing and evaluation of complex products. Generally, a large set of parameters need to be optimized to improve the performance of the prototype, which comprises a number of heterogeneous models from multiple domains. This calls for numerous collaborative simulation experiments in heterogeneous computing environments, which are difficult to build and configure. Cloud simulation is a promising solution with the extremely large resource pool and dynamic construction of virtual computing environments. Thus this paper firstly proposed an optimization framework of MDVP which formulated the domain models, optimizer and the distributed interactive environment on cloud for multi-disciplinary engineers. Then we designed the procedure for conducting parallel optimization of MDVP in the cloud simulation system by con-current execution of MDVP simulation system. The method proposed in the paper has been applied to a MDVP in the aerospace industry, which indicates that the proposed method can support an efficient engineering methodology that can transform the traditional centralized, serial simulation optimization to the distributed collaborative and parallel simulation optimization.",International Conference on Computer Supported Cooperative Work in Design,2017,10.1109/cscwd.2017.8066735,"Mei Wang, Tingyu Lin, Lichao Wei, Chao Ruan, Liqin Guo, C. Xing, Yingying Xiao, Chao Geng, Chen Yang",0.375,3
5,Adaptive cloud simulation using position based fluids,"In this paper, we propose a method for the simulation of clouds using particles exclusively. The method is based on position based fluids, which simulates fluids using position constraints. To reduce the simulation time, we have used adaptive splitting and merging to concentrate computation on regions where it is most needed. When clouds are formed, particles are split so as to add more details to the generated cloud surface and when they disappear, particles are merged back. We implement our adaptive method on the Graphics Processing Unit (GPU) to accelerate the computation. While the splitting portion is easily parallelizable, the merge portion is not. We develop a simple algorithm to address this problem and achieve reasonable simulation times. Copyright © 2015 John Wiley & Sons, Ltd.",Comput. Animat. Virtual Worlds,2015,10.1002/cav.1657,"Y. Dobashi, Charles Welton Ferreira Barbosa, Tsuyoshi Yamamoto",1.2,2
18,EdgeCloudSim: An environment for performance evaluation of Edge Computing systems,"Edge Computing is a fast growing field of research covering a spectrum of technologies such as Cloudlets, Fog Computing and Mobile Edge Computing (MEC). Edge Computing involves technically more sophisticated setup when compared with the pure Cloud Computing and pure Mobile Computing cases since both computational and network resources should be considered simultaneously. In that respect, it provides a larger design space with many parameters rendering a variety of novel approaches feasible. Given the complexity, Edge Computing designs deserve scientific scrutiny for sound assessment of their feasibility. However, despite increasing research activity, this field lacks a simulation tool compatible with the requirements. Starting from available simulators a significant programming effort is required to obtain a simulation tool meeting the actual needs. To decrease the barriers, a new simulator tool called EdgeCloudSim streamlined for Edge Computing scenarios is proposed in this work. EdgeCloudSim builds upon CloudSim to address the specific demands of Edge Computing research and support necessary functionality in terms of computation and networking abilities. To demonstrate the capabilities of EdgeCloudSim an experiment setup based on different edge architectures is simulated and the effect of the computational and networking system parameters on the results are depicted.",International Conference on Fog and Mobile Edge Computing,2017,10.1109/fmec.2017.7946405,"Cem Ersoy, Cagatay Sonmez, Atay Ozgovde",16.5,1
20,"CloudSim Plus: A cloud computing simulation framework pursuing software engineering principles for improved modularity, extensibility and correctness","Cloud computing is an established technology to provide computing resources on demand that currently faces several challenges. Main challenges include management of shared resources, energy consumption, load balancing, resource provisioning and allocation, and fulfilment of service level agreements (SLAs). Due to its inherent complexity, cloud simulation is largely used to experiment new models and algorithms. This work presents CloudSim Plus, an open source simulation framework that pursues conformance to software engineering principles and object-oriented design in order to provide an extensible, modular and accurate tool. Based on the CloudSim framework, it aims to improve several engineering aspects, such as maintainability, reusability and extensibility. This work shows the benefits of CloudSim Plus, its particular features, how it ensures more accuracy, extension facility and usage simplicity.",IFIP/IEEE Symposium on Integrated Network Management,2017,10.23919/inm.2017.7987304,"M. Freire, C. C. Monteiro, Pedro R. M. Inácio, Raysa L. Oliveira, Manoel C. Silva Filho",13.25,1
239,Cloud computing simulators: A comprehensive review,,Simulation modelling practice and theory,2020,10.1016/j.simpat.2020.102144,"R. Ghafari, Behnam Mohammad Hasani Zade, N. Mansouri",13.0,1
23,Usage of Cloud Computing Simulators and Future Systems For Computational Research,"Cloud Computing is an Internet based computing, whereby shared resources, software and information, are provided to computers and devices on demand, like the electricity grid. Currently, IaaS (Infrastructure as a Service), PaaS (Platform as a Service) and SaaS (Software as a Service) are used as a business model for Cloud Computing. Nowadays, the adoption and deployment of Cloud Computing is increasing in various domains, forcing researchers to conduct research in the area of Cloud Computing globally. Setting up the research environment is critical for the researchers in the developing countries to evaluate the research outputs. Currently, modeling, simulation technology and access of resources from various university data centers has become a useful and powerful tool in cloud computing research. Several cloud simulators have been specifically developed by various universities to carry out Cloud Computing research, including CloudSim, SPECI, Green Cloud and Future Systems (the Indiana University machines India, Bravo, Delta, Echo and Foxtrot) supports leading edge data science research and a broad range of computing-enabled education as well as integration of ideas from cloud and HPC systems. In this paper, the features, suitability, adaptability and the learning curve of the existing Cloud Computing simulators and Future Systems are reviewed and analyzed.",arXiv.org,2016,10.1016/j.jnca.2015.11.023,"R. Lakshminarayanan, Rajasekar Ramalingam",11.222222000000000,1
244,Investigating Effects of Animated 3D Point Cloud Simulations on Emotional Responses,"3D simulations are increasingly used in virtual reality laboratory experiments for measuring emotional responses in order to gain a deeper understanding of the perception and judgment of visual landscape quality. Ensuring that these simulations are valid for the intended task is crucial. We demonstrate how we tested animations of a flight into 3D point cloud models of urban areas on the subject of their possible influence on people’s arousal response. Furthermore, we provide insights into the technical development and implementation of these simulations. The simulations were set up in a game engine and presented on a head-mounted display. In the experiment, one group first saw the areas in a bird’s-eye view followed by a flight down to a pedestrian view. The other group was shown the pedestrian view only. During the presentation, arousal was assessed by measuring skin conductance response and with the Self-Assessment Manikin (SAM) questionnaire. Based on the results we can conclude that the animated flight and the perceived movement that comes with it does not affect the measured arousal response signals. However, further studies are needed to understand the response patterns to the different urban areas. Regarding the animated landscape simulation, the level of detail management of 3D point clouds needs further enhancement in order to provide more consistent transitions between the abstract landscape representation during the flight and the highly detailed perspective at ground level. Alternative approaches such as a combination of 360° videos for the flight and 3D point cloud simulations should be tested.",,2020,10.1016/j.landurbplan.2020.103903,"A. Grêt-Regamey, Jens-Oliver Fischer, U. W. Hayek, Marcelo Galleguillos Torres, B. Weibel",8.6,1
128,Cloud Simulations for RoboCup,,Robot Soccer World Cup,2017,10.1175/jas-d-17-0043.1,"E. Cervera, R. Téllez, Gustavo A. Casañ",8.125,1
228,CloudSimSDN: Modeling and Simulation of Software-Defined Cloud Data Centers,"Software-Defined Networking not only addresses the shortcoming of traditional network technologies in dealing with frequent and immediate changes in cloud data centers but also made network resource management open and innovation-friendly. To further accelerate the innovation pace, accessible and easy-to-learn testbeds are required which estimate and measure the performance of network and host capacity provisioning approaches simultaneously within a data center. This is a challenging task and is often costly if accomplished in a physical environment. Thus, a lightweight and scalable simulation environment is necessary to evaluate the network allocation capacity policies while avoiding such a complicated and expensive facility. This paper introduces CloudSimSDN, a simulation framework for SDN-enabled cloud environments based on CloudSim. This paper develops and presents the overall architecture and features of the framework and provides several use cases. Moreover, we empirically validate the accuracy and effectiveness of CloudSimSDN through a number of simulations of a cloud-based three-tier web application.","2015 15th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",2015,10.1109/ccgrid.2015.87,"R. Calheiros, Jungmin Son, Young Yoon, A. V. Dastjerdi, R. Buyya, Xiaohui Ji",7.6,1
